PRELIMINARY PACT DEVELOPMENTS DIRECTORY as of 1/1/2026

1010 EAST 178TH STREET

## TOTAL UNITS: 220

**Borough:** BRONX

| BBL | BLDG# | M | ADDRESS | ZIP CODE | CD # | FC # | SS # | SA # | CC # | BIN# |
| 3018030116 | 5 5 | M | 288 LEXINGTON AVENUE | 11216 | 3 | 08 | 25 | 56 | 36 | 3050659 |
| 3018030115 | 5 |  | 286 LEXINGTON AVENUE | 11216 | 3 | 08 | 25 | 56 | 36 | 3050658 |
| 3018030114 |  | M | 284 LEXINGTON AVENUE | 11216 | 3 | 08 | 25 | 56 | 36 | 3050657 |
| 3018030113 | 5 | M | 282 LEXINGTON AVENUE | 11216 | 3 | 08 | 25 | 56 | 36 | 3050656 |
| 3018030112 | 5 | M | 280 LEXINGTON AVENUE | 11216 | 3 | 08 | 25 | 56 | 36 | 3050655 |
| 3018030011 | 5 | M | 278 LEXINGTON AVENUE | 11216 | 3 | 08 | 25 | 56 | 36 | 3050619 |
| 3018030027 | 6 | M | 310 LEXINGTON AVENUE | 11216 | 3 | 08 | 25 | 56 | 36 | 3322208 |
| 3018030027 | 6 | M | 320 LEXINGTON AVENUE | 11216 | 3 | 08 | 25 | 56 | 36 | 3322207 |
| 3018030042 | 7 | M | 330 LEXINGTON AVENUE | 11216 | 3 | 08 | 25 | 56 | 36 | 3322210 |
| 3018030042 |  | M | 336 LEXINGTON AVENUE | 11216 | 3 | 08 | 25 | 56 | 36 | 3322209 |
| 3018080174 | 8 | M | 435 GATES AVENUE | 11216 | 3 | 08 | 25 | 56 | 36 | 3322227 |
| 3018080174 | 8 | M | 441 GATES AVENUE | 11216 | 3 | 08 | 25 | 56 | 36 | 3322226 |
| 3018080173 | 9 | M | 447 GATES AVENUE | 11216 | 3 | 08 | 25 | 56 | 36 | 3050927 |
| 3018080172 | 9 | M | 449 GATES AVENUE | 11216 | 3 | 08 | 25 | 56 | 36 | 3050926 |
| 3018080171 | 9 | M | 451 GATES AVENUE | 11216 | 3 | 08 | 25 | 56 | 36 | 3050925 |
| 3018080170 | 9 | M | 453 GATES AVENUE | 11216 | 3 | 08 | 25 | 56 | 36 | 3050924 |
| 3018080169 | 9 | M | 455 GATES AVENUE | 11216 | 3 | 08 | 25 | 56 | 36 | 3050923 |
| 3018080168 | 9 | M | 457 GATES AVENUE | 11216 | 3 | 08 | 25 | 56 | 36 | 3050922 |
| 3018080167 | 9 | M | 459 GATES AVENUE | 11216 | 3 | 08 | 25 | 56 | 36 | 3050921 |
