PRELIMINARY PACT DEVELOPMENTS DIRECTORY as of 1/1/2026

1010 EAST 178TH STREET

## TOTAL UNITS: 220

**Borough:** BRONX

| BBL | BLDG# | M | ADDRESS | ZIP CODE | CD # | FC # | SS # | SA # | CC # | BIN# |
| 3014700003 | 5 |  | 1659 SAINT JOHNS PLACE | 11233 |  | 16 | 09 | 25 | 55 | 41 | 3348345 |
| 3014700003 | 5 |  | 553 RALPH AVENUE | 11233 |  | 16 | 09 | 25 | 55 | 41 |  |
| 3014700003 | 5 |  | 1651 SAINT JOHNS PLACE | 11233 |  | 16 | 09 | 25 | 55 | 41 | 3348345 |
| 3014700011 | 6 | M | 1720 STERLING PLACE | 11233 |  | 16 | 09 | 25 | 55 | 41 | 3348327 |
| 3014700011 | 6 | M | 1720A STERLING PLACE | 11233 |  | 16 | 09 | 25 | 55 | 41 | 3348327 |
|  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |
| 3014700011 | 6 | M | 1720B STERLING PLACE | 11233 |  | 16 | 09 | 25 | 55 | 41 | 3348327 |
| 3014700011 | 6 | M | 1722 STERLING PLACE | 11233 |  | 16 | 09 | 25 | 55 | 41 | 3426869 |
| 3014700011 | 6 | M | 1722A STERLING PLACE | 11233 |  | 16 | 09 | 25 | 55 | 41 | 3426869 |
| 3014700011 | 6 | M | 1722B STERLING PLACE | 11233 |  | 16 | 09 | 25 | 55 | 41 | 3426869 |
|  |  |  |  |  |  |  |  |  |  |  |  |
| 3014700015 | 6 | M | 1724 STERLING PLACE | 11233 |  | 16 | 09 | 25 | 55 | 41 | 3393508 |
|  |  |  |  |  |  |  |  |  |  |  |  |
| 3014700015 | 6 | M | 1724A STERLING PLACE | 11233 |  | 16 | 09 | 25 | 55 | 41 | 3393508 |
| 3014700015 | 6 | M | 1724B STERLING PLACE | 11233 |  | 16 | 09 | 25 | 55 | 41 | 3393508 |
| 3014700017 | 6 | M | 1726 STERLING PLACE | 11233 |  | 16 | 09 | 25 | 55 | 41 | 3393509 |
| 3014700017 | 6 | M | 1726A STERLING PLACE | 11233 |  | 16 | 09 | 25 | 55 | 41 | 3393509 |
| 3014700017 | 6 | M | 1726B STERLING PLACE | 11233 |  | 16 | 09 | 25 | 55 | 41 | 3393509 |
|  |  |  |  |  |  |  |  |  |  |  |  |
| 3014700018 | 6 | M | 1728 STERLING PLACE | 11233 |  | 16 | 09 | 25 | 55 | 41 | 3393510 |
| 3014700018 | 6 | M | 1728A STERLING PLACE | 11233 |  | 16 | 09 | 25 | 55 | 41 | 3393510 |
|  |  |  |  |  |  |  |  |  |  |  |  |
| 3014700018 | 6 | M | 1728B STERLING PLACE | 11233 |  | 16 | 09 | 25 | 55 | 41 | 3393510 |
| 3014700019 | 6 | M | 1730 STERLING PLACE | 11233 |  | 16 | 09 | 25 | 55 | 41 | 3392444 |
| 3014700019 | 6 | M | 1730A STERLING PLACE | 11233 |  | 16 | 09 | 25 | 55 | 41 | 3392444 |
| 3014700019 | 6 | M | 1730B STERLING PLACE | 11233 |  | 16 | 09 | 25 | 55 | 41 | 3392444 |
| 3014700020 | 6 | M | 1732 STERLING PLACE | 11233 |  | 16 | 09 | 25 | 55 | 41 | 3251210 |
| 3014700020 | 6 | M | 1732A STERLING PLACE | 11233 |  | 16 | 09 | 25 | 55 | 41 | 3251210 |
| 3014700020 | 6 | M | 1732B STERLING PLACE | 11233 |  | 16 | 09 | 25 | 55 | 41 | 3251210 |
| 3014700022 | 6 | M | 1734 STERLING PLACE | 11233 |  | 16 | 09 | 25 | 55 | 41 | 3392455 |
| 3014700022 | 6 | M | 1734A STERLING PLACE | 11233 |  | 16 | 09 | 25 | 55 | 41 | 3392455 |
| 3014700022 | 6 | M | 1734B STERLING PLACE | 11233 |  | 16 | 09 | 25 | 55 | 41 | 3392455 |
| 3014700023 | 6 | M | 1736 STERLING PLACE | 11233 |  | 16 | 09 | 25 | 55 | 41 | 3392466 |
| 3014700023 | 6 | M | 1736A STERLING PLACE | 11233 |  | 16 | 09 | 25 | 55 | 41 | 3392466 |
| 3014700023 | 6 | M | 1736B STERLING PLACE | 11233 |  | 16 | 09 | 25 | 55 | 41 | 3392466 |
| 3014710011 | 7 | M | 497 HOWARD AVENUE | 11233 |  | 16 | 09 | 25 | 55 | 41 | 3392621 |

---

PRELIMINARY PACT DEVELOPMENTS DIRECTORY as of 1/1/2026

| 3014710011 | 7 | M | 497A HOWARD AVENUE | 11233 |  | 16 | 09 | 25 | 55 | 41 | 3392621 |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 3014710011 | 7 | M | 497B HOWARD AVENUE | 11233 |  | 16 | 09 | 25 | 55 | 41 | 3392621 |
| 3014710010 | 7 | M | 499 HOWARD AVENUE | 11233 |  | 16 | 09 | 25 | 55 | 41 | 3348346 |
| 3014710010 | 7 | M | 499A HOWARD AVENUE | 11233 |  | 16 | 09 | 25 | 55 | 41 | 3348346 |
| 3014710010 | 7 | M | 499B HOWARD AVENUE | 11233 |  | 16 | 09 | 25 | 55 | 41 | 3348346 |
| 3014710009 | 7 | M | 501 HOWARD AVENUE | 11233 |  | 16 | 09 | 25 | 55 | 41 | 3392551 |
| 3014710009 | 7 | M | 501A HOWARD AVENUE | 11233 |  | 16 | 09 | 25 | 55 | 41 | 3392551 |
| 3014710009 | 7 | M | 501B HOWARD AVENUE | 11233 |  | 16 | 09 | 25 | 55 | 41 | 3392551 |
| 3014710008 | 7 | M | 503 HOWARD AVENUE | 11233 |  | 16 | 09 | 25 | 55 | 41 | 3393522 |
| 3014710008 | 7 | M | 503A HOWARD AVENUE | 11233 |  | 16 | 09 | 25 | 55 | 41 | 3393522 |
| 3014710008 | 7 | M | 503B HOWARD AVENUE | 11233 |  | 16 | 09 | 25 | 55 | 41 | 3393522 |
| 3014710007 | 7 | M | 505 HOWARD AVENUE | 11233 |  | 16 | 09 | 25 | 55 | 41 | 3393520 |
| 3014710007 | 7 | M | 505A HOWARD AVENUE | 11233 |  | 16 | 09 | 25 | 55 | 41 | 3393520 |
| 3014710007 | 7 | M | 505B HOWARD AVENUE | 11233 |  | 16 | 09 | 25 | 55 | 41 | 3393520 |
| 3014710006 | 7 | M | 507 HOWARD AVENUE | 11233 |  | 16 | 09 | 25 | 55 | 41 | 3393519 |
| 3014710006 | 7 | M | 507A HOWARD AVENUE | 11233 |  | 16 | 09 | 25 | 55 | 41 | 3393519 |
| 3014710006 | 7 | M | 507B HOWARD AVENUE | 11233 |  | 16 | 09 | 25 | 55 | 41 | 3393519 |
| 3014710005 | 7 | M | 509 HOWARD AVENUE | 11233 |  | 16 | 09 | 25 | 55 | 41 | 3393518 |
|  |  |  |  |  |  |  |  |  |  |  |  |
| 3014710005 | 7 | M | 509B HOWARD AVENUE | 11233 |  | 16 | 09 | 25 | 55 | 41 | 3393518 |
|  |  |  |  |  |  |  |  |  |  |  |  |
| 3014710001 | 7 | M | 511 HOWARD AVENUE | 11233 |  | 16 | 09 | 25 | 55 | 41 | 3039448 |
|  |  |  |  |  |  |  |  |  |  |  |  |
| 3014710001 | 7 | M | 511A HOWARD AVENUE | 11233 |  | 16 | 09 | 25 | 55 | 41 | 3039448 |
| 3014710001 | 7 |  | 513 HOWARD AVENUE | 11233 |  | 16 | 09 | 25 | 55 | 41 | 3000000 |
|  |  |  |  |  |  |  |  |  |  |  |  |
| 3014710001 | 7 |  | 1745 SAINT JOHNS PLACE | 11233 |  | 16 | 09 | 25 | 55 | 41 | 3000000 |
|  |  |  |  |  |  |  |  |  |  |  |  |
| 3014710001 | 7 |  | 1737 SAINT JOHNS PLACE | 11233 |  | 16 | 09 | 25 | 55 | 41 | 3000000 |
| 3014710001 | 7 | M | 511B HOWARD AVENUE | 11233 |  | 16 | 09 | 25 | 55 | 41 | 3039448 |
| 3014710001 | 7 |  | 515 HOWARD AVENUE | 11233 |  | 16 | 09 | 25 | 55 | 41 | 3000000 |
| 3014710014 | 8 | M | 1790 STERLING PLACE | 11233 |  | 16 | 09 | 25 | 55 | 41 | 3393524 |
| 3014710014 | 8 | M | 1790A STERLING PLACE | 11233 |  | 16 | 09 | 25 | 55 | 41 | 3393524 |
|  |  |  |  |  |  |  |  |  |  |  |  |
|  |  |  |  |  |  |  |  |  |  |  |  |
| 3014710014 | 8 | M | 1790B STERLING PLACE | 11233 |  | 16 | 09 | 25 | 55 | 41 | 3393524 |
|  |  |  |  |  |  |  |  |  |  |  |  |
| 3014710015 | 8 | M | 1792 STERLING PLACE | 11233 |  | 16 | 09 | 25 | 55 | 41 | 3393525 |
| 3014710015 | 8 | M | 1792A STERLING PLACE | 11233 |  | 16 | 09 | 25 | 55 | 41 | 3393525 |
| 3014710015 | 8 | M | 1792B STERLING PLACE | 11233 |  | 16 | 09 | 25 | 55 | 41 | 3393525 |
|  |  |  |  |  |  |  |  |  |  |  |  |
| 3014710016 | 8 | M | 1794 STERLING PLACE | 11233 |  | 16 | 09 | 25 | 55 | 41 | 3039449 |
| 3014710016 | 8 | M | 1794A STERLING PLACE | 11233 |  | 16 | 09 | 25 | 55 | 41 | 3039449 |
| 3014710016 | 8 | M | 1794B STERLING PLACE | 11233 |  | 16 | 09 | 25 | 55 | 41 | 3039449 |
| 3014710017 | 8 | M | 1796 STERLING PLACE | 11233 |  | 16 | 09 | 25 | 55 | 41 | 3393526 |
|  |  |  |  |  |  |  |  |  |  |  |  |
| 3014710017 | 8 | M | 1796A STERLING PLACE | 11233 |  | 16 | 09 | 25 | 55 | 41 | 3393
…[truncated]526 |
| 3014710017 | 8 | M | 1796B STERLING PLACE | 11233 |  | 16 | 09 | 25 | 55 | 41 | 3393526 |
|  |  |  |  |  |  |  |  |  |  |  |  |
| 3014710019 | 8 | M | 1798 STERLING PLACE | 11233 |  | 16 | 09 | 25 | 55 | 41 | 3039450 |
| 3014710019 | 8 | M | 1798A STERLING PLACE | 11233 |  | 16 | 09 | 25 | 55 | 41 | 3039450 |
| 3014710019 | 8 | M | 1798B STERLING PLACE | 11233 |  | 16 | 09 | 25 | 55 | 41 | 3039450 |
| 3014710020 | 8 | M | 1800 STERLING PLACE | 11233 |  | 16 | 09 | 25 | 55 | 41 | 3039451 |
|  |  |  |  |  |  |  |  |  |  |  |  |
| 3014710020 | 8 | M | 1800A STERLING PLACE | 11233 |  | 16 | 09 | 25 | 55 | 41 | 3039451 |
| 3014710020 | 8 | M | 1800B STERLING PLACE | 11233 |  | 16 | 09 | 25 | 55 | 41 | 3039451 |
| 3014710021 | 8 | M | 1802 STERLING PLACE | 11233 |  | 16 | 09 | 25 | 55 | 41 | 3039452 |
| 3014710021 | 8 | M | 1802A STERLING PLACE | 11233 |  | 16 | 09 | 25 | 55 | 41 | 3039452 |
| 3014710021 | 8 | M | 1802B STERLING PLACE | 11233 |  | 16 | 09 | 25 | 55 | 41 | 3039452 |
| 3014710023 | 8 | M | 1804 STERLING PLACE | 11233 |  | 16 | 09 | 25 | 55 | 41 | 3406675 |
| 3014710023 | 8 | M | 1804A STERLING PLACE | 11233 |  | 16 | 09 | 25 | 55 | 41 | 3406675 |
| 3014710022 | 8 |  | 1810 STERLING PLACE | 11233 |  | 16 | 09 | 25 | 55 | 41 |  |
| 3014710024 | 8 |  | 1814 STERLING PLACE | 11233 |  | 16 | 09 | 25 | 55 | 41 | 3000000 |
| 3014710023 | 8 |  | 1812 STERLING PLACE | 11233 |  | 16 | 09 | 25 | 55 | 41 | 3000000 |
| 3014710021 | 8 |  | 1806 STERLING PLACE | 11233 |  | 16 | 09 | 25 | 55 | 41 | 3000000 |
| 3014710023 | 8 | M | 1804B STERLING PLACE | 11233 |  | 16 | 09 | 25 | 55 | 41 | 3406675 |

---

PRELIMINARY PACT DEVELOPMENTS DIRECTORY as of 1/1/2026

## INDEPENDENCE

## TOTAL UNITS: 744

**Borough:** BROOKLYN

| BBL | BLDG# | M | ADDRESS | ZIP CODE | CD # | FC # | SS # | SA # | CC # | BIN# |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 3021720001 | 1 | M | 85 TAYLOR STREET | 11249 | 1 | 07 | 18 | 50 | 34 | 3334990 |
| 3021720001 | 1 |  | 83 TAYLOR STREET | 11249 | 1 | 07 | 18 | 50 | 34 | 3334990 |
| 3021720001 | 2 | M | 130 CLYMER STREET | 11249 | 1 | 07 | 18 | 50 | 34 | 3334991 |
| 3021720001 | 2 |  | 128 CLYMER STREET | 11249 | 1 | 07 | 18 | 50 | 34 | 3334991 |
| 3021720001 | 3 |  | 119 TAYLOR STREET | 11249 | 1 | 07 | 18 | 50 | 34 | 3334989 |
| 3021720001 | 3 | M | 125 TAYLOR STREET | 11249 | 1 | 07 | 18 | 50 | 34 | 3334989 |
| 3021720001 | 3 |  | 123 TAYLOR STREET | 11249 | 1 | 07 | 18 | 50 | 34 | 3334989 |
| 3021720001 | 3 |  | 140 CLYMER STREET | 11249 | 1 | 07 | 18 | 50 | 34 | 3334989 |
| 3021760001 | 4 |  | 119 WILSON STREET | 11249 | 1 | 07 | 18 | 50 | 34 | 3059905 |
| 3021760001 | 4 | M | 121 WILSON STREET | 11249 | 1 | 07 | 18 | 50 | 34 | 3059905 |
| 3021760001 | 4 |  | 114 TAYLOR STREET | 11249 | 1 | 07 | 18 | 50 | 34 | 3059905 |
| 3021760001 | 5 |  | 95 WILSON STREET | 11249 | 1 | 07 | 18 | 50 | 34 | 3341986 |
| 3021760001 | 5 | M | 99 WILSON STREET | 11249 | 1 | 07 | 18 | 50 | 34 | 3341986 |
| 3021760001 | 5 |  | 97 WILSON STREET | 11249 | 1 | 07 | 18 | 50 | 34 | 3341986 |
| 3021760001 | 5 |  | 110 TAYLOR STREET | 11249 | 1 | 07 | 18 | 50 | 34 | 3341989 |
| 3021760001 | 6 |  | 73 WILSON STREET | 11249 | 1 | 07 | 18 | 50 | 34 | 3341987 |
| 3021760001 | 6 | M | 75 WILSON STREET | 11249 | 1 | 07 | 18 | 50 | 34 | 3341987 |

LENOX ROAD-ROCKAWAY PARKWAY

| Borough:BROOKLYN                 TOTAL UNITS:74             TDS # 348               TRANSFERRED DATE:    11/28/2023 : |  |  |  |  |  |  |  |  |  |  |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| BBL | BLDG# | M | ADDRESS | ZIP CODE | CD # | FC # | SS # | SA # | CC # | BIN# |
| 3046710007 | 1 | M | 1142 LENOX ROAD | 11212 | 17 | 09 | 19 | 58 | 41 | 3101906 |
| 3046720001 | 2 | M | 1144 LENOX ROAD | 11212 | 17 | 09 | 19 | 55 | 41 | 3101952 |
| 3046520045 | 3 | M | 1145 LENOX ROAD | 11212 | 17 | 09 | 19 | 55 | 41 | 3101290 |

## TOTAL UNITS: 1,586

LINDEN

**Borough:** BROOKLYN

| BBL | BLDG# | M | ADDRESS | ZIP CODE | CD # | FC # | SS # | SA # | CC # | BIN# |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 3043710001 | 1 | M | 570 STANLEY AVENUE | 11207 | 5 | 08 | 19 | 60 | 42 | 3324019 |
| 3043930001 | 10 | M | 190 WORTMAN AVENUE | 11207 | 5 | 08 | 19 | 60 | 42 | 3337067 |
| 3043930001 | 11 | M | 240 WORTMAN AVENUE | 11207 | 5 | 08 | 19 | 60 | 42 | 3337068 |
| 3043930001 | 12 | M | 250 WORTMAN AVENUE | 11207 | 5 | 08 | 19 | 60 | 42 | 3337069 |
| 3043930001 | 13 | M | 245 COZINE AVENUE | 11207 | 5 | 08 | 19 | 60 | 42 | 3337065 |
| 3043930001 | 14 |  | 217 COZINE AVENUE | 11207 | 5 | 08 | 19 | 60 | 42 | 3337062 |
| 3043930001 | 14 | M | 215 COZINE AVENUE | 11207 | 5 | 08 | 19 | 60 | 42 | 3337062 |
| 3043930001 | 14 |  | 213 COZINE AVENUE | 11207 | 5 | 08 | 19 | 60 | 42 | 3337062 |
| 3043930001 | 15 | M | 195 COZINE AVENUE | 11207 | 5 | 08 | 19 | 60 | 42 | 3337061 |
| 3043970001 | 16 | M | 270 WORTMAN AVENUE | 11207 | 5 | 08 | 19 | 60 | 42 | 3324281 |
| 3043970001 | 17 | M | 300 WORTMAN AVENUE | 11207 | 5 | 08 | 19 | 60 | 42 | 3324284 |
| 3043970001 | 18 | M | 295 COZINE AVENUE | 11207 | 5 | 08 | 19 | 60 | 42 | 3324283 |
| 3043970001 | 19 | M | 285 COZINE AVENUE | 11207 | 5 | 08 | 19 | 60 | 42 | 3324282 |
| 3043710001 | 2 | M | 580 STANLEY AVENUE | 11207 | 5 | 08 | 19 | 60 | 42 | 3324020 |
| 3043750050 | 20 |  | 696 STANLEY AVENUE | 11207 | 5 | 08 | 19 | 60 | 42 | 3396477 |
| 3043750050 | 21 |  | 670 STANLEY AVENUE | 11207 | 5 | 08 | 19 | 60 | 42 | 3412949 |
| 3043710001 | 3 | M | 630 STANLEY AVENUE | 11207 | 5 | 08 | 19 | 60 | 42 | 3324015 |
| 3043710001 | 4 | M | 640 STANLEY AVENUE | 11207 | 5 | 08 | 19 | 60 | 42 | 3324018 |
| 3043710001 | 5 | M | 245 WORTMAN AVENUE | 11207 | 5 | 08 | 19 | 60 | 42 | 3324016 |
| 3043710001 | 5 |  | 247 WORTMAN AVENUE | 11207 | 5 | 08 | 19 | 60 | 42 | 3324016 |
| 3043710001 | 5 |  | 912 VAN SICLEN AVENUE | 11207 | 5 | 08 | 19 | 60 | 42 | 3324016 |
| 3043710001 | 5 |  | 243 WORTMAN AVENUE | 11207 | 5 | 08 | 19 | 60 | 42 | 3324016 |

BBL =BoroughBlockLot M = Residential Mailing Address

---

PRELIMINARY PACT DEVELOPMENTS DIRECTORY as of 1/1/2026

| 3043710001 | 5 |  | 914 VAN SICLEN AVENUE | 11207 | 5 | 08 | 19 | 60 | 42 | 3324016 |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 3043710001 | 6 | M | 225 WORTMAN AVENUE | 11207 | 5 | 08 | 19 | 60 | 42 | 3324017 |
| 3043710001 | 7 | M | 215 WORTMAN AVENUE | 11207 | 5 | 08 | 19 | 60 | 42 | 3324022 |
| 3043710001 | 8 |  | 187 WORTMAN AVENUE | 11207 | 5 | 08 | 19 | 60 | 42 | 3324021 |
| 3043710001 | 8 |  | 183 WORTMAN AVENUE | 11207 | 5 | 08 | 19 | 60 | 42 | 3324021 |
| 3043710001 | 8 | M | 185 WORTMAN AVENUE | 11207 | 5 | 08 | 19 | 60 | 42 | 3324021 |
| 3043930001 | 9 | M | 180 WORTMAN AVENUE | 11207 | 5 | 08 | 19 | 60 | 42 | 3337066 |

## TOTAL UNITS: 1,272

MANHATTANVILLE

**Borough:** MANHATTAN

| BBL | BLDG# | M | ADDRESS | ZIP CODE | CD # | FC # | SS # | SA # | CC # | BIN# |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 1019840001 | 1 | M | 545 WEST 126TH STREET | 10027 | 9 | 13 | 30 | 70 | 07 | 1084125 |
| 1019840001 | 1 |  | 555 WEST 126TH STREET | 10027 | 9 | 13 | 30 | 70 | 07 | 1084125 |
| 1019840001 | 1 |  | 549 WEST 126TH STREET | 10027 | 9 | 13 | 30 | 70 | 07 | 1084125 |
| 1019840001 | 2 | M | 3250 BROADWAY | 10027 | 9 | 13 | 30 | 70 | 07 | 1084124 |
| 1019840001 | 2 |  | 3240 BROADWAY | 10027 | 9 | 13 | 30 | 70 | 07 | 1084124 |
| 1019840001 | 3 |  | 1414 AMSTERDAM AVENUE | 10027 | 9 | 13 | 30 | 70 | 07 | 1084127 |
| 1019840001 | 3 | M | 1420 AMSTERDAM AVENUE | 10027 | 9 | 13 | 30 | 70 | 07 | 1084127 |
| 1019840001 | 4 | M | 1430 AMSTERDAM AVENUE | 10027 | 9 | 13 | 30 | 70 | 07 | 1084128 |
| 1019840001 | 5 | M | 1470 AMSTERDAM AVENUE | 10027 | 9 | 13 | 30 | 70 | 07 | 1084129 |
| 1019840001 | 6 |  | 530 WEST 133RD STREET | 10027 | 9 | 13 | 30 | 70 | 07 | 1084130 |
| 1019840001 | 6 | M | 95 OLD BROADWAY | 10027 | 9 | 13 | 30 | 70 | 07 | 1084130 |

## MANHATTANVILLE REHAB (GROUP 2)

## TOTAL UNITS: 46

**Borough:** MANHATTAN

| BBL | BLDG# | M | ADDRESS | ZIP CODE | CD # | FC # | SS # | SA # | CC # | BIN# |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 1019880020 | 1 | M | 515 WEST 134TH STREET | 10031 | 9 | 13 | 30 | 70 | 07 | 1059758 |
| 1019880022 | 2 | M | 511 WEST 134TH STREET | 10031 | 9 | 13 | 30 | 70 | 07 | 1059760 |
| 1019880031 | 3 | M | 1504 AMSTERDAM AVENUE | 10031 | 9 | 13 | 30 | 70 | 07 | 1059765 |

MANHATTANVILLE REHAB (GROUP 3)

| Borough:MANHATTAN                TOTAL UNITS:51             TDS # 297               TRANSFERRED DATE:    11/30/2020 : |  |  |  |  |  |  |  |  |  |  |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| BBL | BLDG# | M | ADDRESS | ZIP CODE | CD # | FC # | SS # | SA # | CC # | BIN# |
| 1019870017 | 1 | M | 529 WEST 133RD STREET | 10027 | 9 | 13 | 30 | 70 | 07 | 1079738 |
| 1019870017 | 2 | M | 514 WEST 134TH STREET | 10031 | 9 | 13 | 30 | 70 | 07 | 1079741 |

MARCY AVENUE-GREENE AVENUE SITE A

**Borough:** BROOKLYN

| Borough:BROOKLYN                 TOTAL UNITS:48             TDS # 363               TRANSFERRED DATE:     2/12/2020 : |  |  |  |  |  |  |  |  |  |  |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| BBL | BLDG# | M | ADDRESS | ZIP CODE | CD # | FC # | SS # | SA # | CC # | BIN# |
| 3017980020 | 1 | M | 534 GREENE AVENUE | 11216 | 3 | 08 | 25 | 56 | 36 | 3426328 |
| 3017980020 | 1 | M | 528 GREENE AVENUE | 11216 | 3 | 08 | 25 | 56 | 36 | 3426329 |
| 3017980020 | 1 | M | 524 GREENE AVENUE | 11216 | 3 | 08 | 25 | 56 | 36 | 3392441 |
| 3017980020 | 1 | M | 518 GREENE AVENUE | 11216 | 3 | 08 | 25 | 56 | 36 | 3392441 |
| 3017980020 | 2 |  | 327 LEXINGTON AVENUE | 11216 | 3 | 08 | 25 | 56 | 36 | 3426330 |
| 3017980020 | 2 |  | 325 LEXINGTON AVENUE | 11216 | 3 | 08 | 25 | 56 | 36 | 3394299 |
| 3017980020 | 2 | M | 323 LEXINGTON AVENUE | 11216 | 3 | 08 | 25 | 56 | 36 | 3394299 |
| 3017980020 | 2 | M | 329 LEXINGTON AVENUE | 11216 | 3 | 08 | 25 | 56 | 36 | 3426330 |
| 3017980020 | 2 | M | 331 LEXINGTON AVENUE | 11216 | 3 | 08 | 25 | 56 | 36 | 3426331 |

---

MARCY AVENUE-GREENE AVENUE SITE B

| Borough:BROOKLYN               TOTAL UNITS:30           TDS # 358             TRANSFERRED DATE:    2/12/2020 : |  |  |  |  |  |  |  |  |  |  |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| BBL | BLDG# | M | ADDRESS | ZIP CODE | CD # | FC # | SS # | SA # | CC # | BIN# |
| 3017980005 |  |  | 303 NOSTRAND AVENUE | 11216 | 3 | 08 | 25 | 56 | 36 | 3000000 |
| 3017980077 |  |  | 305 LEXINGTON AVENUE | 11216 | 3 | 08 | 25 | 56 | 36 | 3343342 |
| 3017980004 |  |  | 305 NOSTRAND AVENUE | 11216 | 3 | 08 | 25 | 56 | 36 | 3000000 |
| 3017980003 |  |  | 307 NOSTRAND AVENUE | 11216 | 3 | 08 | 25 | 56 | 36 | 3000000 |
| 3017980002 |  |  | 309 NOSTRAND AVENUE | 11216 | 3 | 08 | 25 | 56 | 36 | 3000000 |
| 3017980007 |  |  | 492 GREENE AVENUE | 11216 | 3 | 08 | 25 | 56 | 36 | 3000000 |
| 3017980008 |  |  | 494 GREENE AVENUE | 11216 | 3 | 08 | 25 | 56 | 36 | 3000000 |
| 3017980009 |  |  | 496 GREENE AVENUE | 11216 | 3 | 08 | 25 | 56 | 36 | 3000000 |
| 3017980077 | 3 | M | 311 LEXINGTON AVENUE | 11216 | 3 | 08 | 25 | 56 | 36 | 3343342 |
| 3017980077 | 3 | M | 313 LEXINGTON AVENUE | 11216 | 3 | 08 | 25 | 56 | 36 | 3343342 |
| 3017980077 | 3 | M | 315 LEXINGTON AVENUE | 11216 | 3 | 08 | 25 | 56 | 36 | 3426333 |
| 3017980077 | 3 | M | 317 LEXINGTON AVENUE | 11216 | 3 | 08 | 25 | 56 | 36 | 3426333 |
| 3017980077 | 3 | M | 319 LEXINGTON AVENUE | 11216 |  |  |  | 56 | 36 | 3426334 |

## MARSHALL PLAZA

| Borough:MANHATTAN                TOTAL UNITS:180            TDS # 344               TRANSFERRED DATE:     1/10/2023 : |  |  |  |  |  |  |  |  |  |  |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| BBL | BLDG# | M | ADDRESS | ZIP CODE | CD # | FC # | SS # | SA # | CC # | BIN# |
| 1021160033 | 1 | M | 1970 AMSTERDAM AVENUE | 10032 | 12 | 13 | 31 | 71 | 10 | 1076742 |
| 1021160033 | 1 |  | 1968 AMSTERDAM AVENUE | 10032 | 12 | 13 | 31 | 71 | 10 | 1076742 |

## TOTAL UNITS: 275

## METRO NORTH PLAZA

| BBL | BLDG# | M | ADDRESS | ZIP CODE | CD # | FC # | SS # | SA # | CC # | BIN# |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 1016730006 | 1 |  | 305 EAST 101ST STREET | 10029 | 11 | 13 | 29 | 68 | 08 | 1079342 |
| 1016730006 | 1 | M | 307 EAST 101ST STREET | 10029 | 11 | 13 | 29 | 68 | 08 | 1079342 |
| 1016730006 | 2 |  | 312 EAST 102ND STREET | 10029 | 11 | 13 | 29 | 68 | 08 | 1079341 |
| 1016730006 | 2 |  | 342 EAST 102ND STREET | 10029 | 11 | 13 | 29 | 68 | 08 | 1079341 |
| 1016730006 | 2 |  | 304 EAST 102ND STREET | 10029 | 11 | 13 | 29 | 68 | 08 | 1079341 |
| 1016730006 | 2 |  | 320 EAST 102ND STREET | 10029 | 11 | 13 | 29 | 68 | 08 | 1079341 |
| 1016730006 | 2 |  | 308 EAST 102ND STREET | 10029 | 11 | 13 | 29 | 68 | 08 | 1079341 |
| 1016730006 | 2 |  | 306 EAST 102ND STREET | 10029 | 11 | 13 | 29 | 68 | 08 | 1079341 |
| 1016730006 | 2 | M | 310 EAST 102ND STREET | 10029 | 11 | 13 | 29 | 68 | 08 | 1079341 |
| 1016730006 | 2 |  | 302 EAST 102ND STREET | 10029 | 11 | 13 | 29 | 68 | 08 | 1079341 |
| 1016730006 | 3 |  | 347 EAST 101ST STREET | 10029 | 11 | 13 | 29 | 68 | 08 | 1079340 |
| 1016730006 | 3 | M | 345 EAST 101ST STREET | 10029 | 11 | 13 | 29 | 68 | 08 | 1079340 |

MIDDLETOWN PLAZA

| Borough:BRONX                      TOTAL UNITS:179            TDS # 191               TRANSFERRED DATE:     9/26/2024 : |  |  |  |  |  |  |  |  |  |  |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| BBL | BLDG# | M | ADDRESS | ZIP CODE | CD # | FC # | SS # | SA # | CC # | BIN# |
| 2041710024 | 1 |  | 3035 MIDDLETOWN ROAD | 10461 | 10 | 14 | 34 | 82 | 13 | 2046141 |
