address,zipcode,development,managedBy,communityDistrict,block,lot,bin
15-26 HASSOCK STREET,11691,REDFERN,REDFERN,14,15501,0002,4449685
15-30 HASSOCK STREET,11691,REDFERN,REDFERN,14,15501,0002,4449685
15-40 HASSOCK STREET,11691,REDFERN,REDFERN,14,15501,0002,4449685
15-44 HASSOCK STREET,11691,REDFERN,REDFERN,14,15501,0002,4449685
15-60 HASSOCK STREET,11691,REDFERN,REDFERN,14,15501,0002,4000000
114-54 INWOOD STREET,11436,FHA REPOSSESSED HOUSES(GROUPX),BAISLEY PARK,12,11975,0032,4259310
119-44 INWOOD STREET,11436,FHA REPOSSESSED HOUSES(GROUPIV),BAISLEY PARK,12,12025,0077,4261015
44,11367,POMONOK,POMONOK,8,06792,0001,4451594
154-02 JEWEL AVENUE,11367,POMONOK,POMONOK,8,06792,0001,4451594
154-06 JEWEL AVENUE,11367,POMONOK,POMONOK,8,06792,0030,4455427
155-01 JEWEL AVENUE,11367,POMONOK,POMONOK,8,06792,0030,4455427
155-03 JEWEL AVENUE,11367,POMONOK,POMONOK,8,06792,0030,4455427
155-05 JEWEL AVENUE,11367,POMONOK,POMONOK,8,06792,0030,4455427
155-07 JEWEL AVENUE,11367,POMONOK,POMONOK,8,06792,0030,4455427
155-09 JEWEL AVENUE,11367,POMONOK,POMONOK,8,06792,0030,4455428
155-09 JEWEL AVENUE,11367,POLICE SERVICE AREA #9,NYPD HOUSING BUREAU,8,06792,0030,4455428
155-10 JEWEL AVENUE,11367,POMONOK,POMONOK,8,06792,0001,4451589
155-11 JEWEL AVENUE,11367,POMONOK,POMONOK,8,06792,0030,4455428
155-12 JEWEL AVENUE,11367,POMONOK,POMONOK,8,06792,0001,4451589
155-14 JEWEL AVENUE,11367,POMONOK,POMONOK,8,06792,0001,4451589
155-15 JEWEL AVENUE,11367,POMONOK,POMONOK,8,06792,0030,4455428
155-16 JEWEL AVENUE,11367,POMONOK,POMONOK,8,06792,0001,4451589
155-18 JEWEL AVENUE,11367,POMONOK,POMONOK,8,06792,0001,4451589
155-19 JEWEL AVENUE,11367,POMONOK,POMONOK,8,06792,0030,4455429
155-20 JEWEL AVENUE,11367,POMONOK,POMONOK,8,06792,0001,4451589
155-21 JEWEL AVENUE,11367,POMONOK,POMONOK,8,06792,0030,4455429
155-22 JEWEL AVENUE,11367,POMONOK,POMONOK,8,06792,0001,4451590
155-23 JEWEL AVENUE,11367,POMONOK,POMONOK,8,06792,0030,4455429
155-24 JEWEL AVENUE,11367,POMONOK,POMONOK,8,06792,0001,4451590
155-26 JEWEL AVENUE,11367,POMONOK,POMONOK,8,06792,0001,4451591
136-10 LATIMER PLACE,11354,LATIMER GARDENS,LATIMER GARDENS,7,04951,0008,4443409
136-12 LATIMER PLACE,11354,LATIMER GARDENS,LATIMER GARDENS,7,04951,0008,4443409
65-10 PARSONS BOULEVARD,11365,POMONOK,POMONOK,8,06792,0030,4455414
65-12 PARSONS BOULEVARD,11365,POMONOK,POMONOK,8,06792,0030,4455414
65-14 PARSONS BOULEVARD,11365,POMONOK,POMONOK,8,06792,0030,4455414
81-04 ROCKAWAY BEACH BOULEVARD,11693,HAMMEL,HAMMEL,14,16114,0002,4436314
81-10 ROCKAWAY BEACH BOULEVARD,11693,HAMMEL,HAMMEL,14,16114,0002,4436315
81-14 ROCKAWAY BEACH BOULEVARD,11693,HAMMEL,HAMMEL,14,16114,0002,4436315
82-02 ROCKAWAY BEACH BOULEVARD,11693,HAMMEL,HAMMEL,14,16114,0002,4463573
82-10 ROCKAWAY BEACH BOULEVARD,11693,HAMMEL,HAMMEL,14,16114,0002,4436316
82-14 ROCKAWAY BEACH BOULEVARD,11693,HAMMEL,HAMMEL,14,16114,0002,4436316
83-00 ROCKAWAY BEACH BOULEVARD,11693,HAMMEL,NYC DEPT OF PARKS,14,16114,0002,4591908
84-10 ROCKAWAY BEACH BOULEVARD,11693,HAMMEL,HAMMEL,14,16114,0002,4436317
84-12 ROCKAWAY BEACH BOULEVARD,11693,HAMMEL,HAMMEL,14,16114,0002,4436318
84-14 ROCKAWAY BEACH BOULEVARD,11693,HAMMEL,HAMMEL,14,16114,0002,4436319
84-16 ROCKAWAY BEACH BOULEVARD,11693,HAMMEL,HAMMEL,14,16114,0002,4436320
84-18 ROCKAWAY BEACH BOULEVARD,11693,HAMMEL,HAMMEL,14,16114,0002,4436316
85-02 ROCKAWAY BEACH BOULEVARD,11693,HAMMEL,HAMMEL,14,16114,0002,4436321
85-10 ROCKAWAY BEACH BOULEVARD,11693,HAMMEL,HAMMEL,14,16114,0002,4436321
133-16 ROOSEVELT AVENUE,11354,BLAND,LATIMER GARDENS,7,05037,0008,4443446
133-20 ROOSEVELT AVENUE,11354,BLAND,LATIMER GARDENS,7,05037,0008,4443446
133-36 ROOSEVELT AVENUE,11354,BLAND,LATIMER GARDENS,7,05037,0008,4443447
133-40 ROOSEVELT AVENUE,11354,BLAND,LATIMER GARDENS,7,05037,0008,4443447
133-50 ROOSEVELT AVENUE,11354,BLAND,LATIMER GARDENS,7,05037,0008,4443445
148-13 SUTTER AVENUE,11436,FHA REPOSSESSED HOUSES (GROUP I),BAISLEY PARK,12,12103,0071,4262719
110 BRABANT STREET,10303,MARINER&#x27;S HARBOR,MARINER&#x27;S HARBOR,1,01248,0200,5109124
124 BRABANT STREET,10303,MARINER&#x27;S HARBOR,MARINER&#x27;S HARBOR,1,01248,0200,5109125
139 BRABANT STREET,10303,MARINER&#x27;S HARBOR,MARINER&#x27;S HARBOR,1,01245,0001,5109120
142 BRABANT STREET,10303,MARINER&#x27;S HARBOR,MARINER&#x27;S HARBOR,1,01248,0200,5109126
150 BRABANT STREET,10303,MARINER&#x27;S HARBOR,MARINER&#x27;S HARBOR,1,01248,0200,5109127
153 BRABANT STREET,10303,MARINER&#x27;S HARBOR,MARINER&#x27;S HARBOR,1,01245,0001,5109121
157 BRABANT STREET,10303,MARINER&#x27;S HARBOR,MARINER&#x27;S HARBOR,1,01245,0001,5109121
168 BRABANT STREET,10303,MARINER&#x27;S HARBOR,MARINER&#x27;S HARBOR,1,01248,0200,5109128
173 BRABANT STREET,10303,MARINER&#x27;S HARBOR,MARINER&#x27;S HARBOR,1,01245,0001,5109122
179 BRABANT STREET,10303,MARINER&#x27;S HARBOR,MARINER&#x27;S HARBOR,1,01245,0001,5109123
161 CONTINENTAL PLACE,10303,MARINER&#x27;S HARBOR,MARINER&#x27;S HARBOR,1,01248,0200,5109129
169 CONTINENTAL PLACE,10303,MARINER&#x27;S HARBOR,MARINER&#x27;S HARBOR,1,01248,0200,5109130
177 CONTINENTAL PLACE,10303,MARINER&#x27;S HARBOR,MARINER&#x27;S HARBOR,1,01248,0200,5109130
183 CONTINENTAL PLACE,10303,MARINER&#x27;S HARBOR,MARINER&#x27;S HARBOR,1,01248,0200,5109131
189 CONTINENTAL PLACE,10303,MARINER&#x27;S HARBOR,MARINER&#x27;S HARBOR,1,01248,0200,5109131
195 CONTINENTAL PLACE,10303,MARINER&#x27;S HARBOR,MARINER&#x27;S HARBOR,1,01248,0200,5109132
201 CONTINENTAL PLACE,10303,MARINER&#x27;S HARBOR,MARINER&#x27;S HARBOR,1,01248,0200,5109132
18GA R DONGAN HILLS AVENUE,10306,BERRY,BERRY,2,03532,0500,5146061
20 DONGAN HILLS AVENUE,10306,BERRY,BERRY,2,03532,0500,5109567
26 DONGAN HILLS AVENUE,10306,BERRY,BERRY,2,03532,0500,5109567
30 DONGAN HILLS AVENUE,10306,BERRY,BERRY,2,03532,0500,5109567
