address,zipcode,development,managedBy,communityDistrict,block,lot,bin
30 CLASON POINT LANE SOUTH,10473,CLASON POINT GARDENS,MONROE,9,03633,0001,2092735
32 CLASON POINT LANE SOUTH,10473,CLASON POINT GARDENS,MONROE,9,03633,0001,2092735
46 CLASON POINT LANE SOUTH,10473,CLASON POINT GARDENS,MONROE,9,03633,0001,2092736
48 CLASON POINT LANE SOUTH,10473,CLASON POINT GARDENS,MONROE,9,03633,0001,2092736
50 CLASON POINT LANE SOUTH,10473,CLASON POINT GARDENS,MONROE,9,03633,0001,2092736
52 CLASON POINT LANE SOUTH,10473,CLASON POINT GARDENS,MONROE,9,03633,0001,2092739
54 CLASON POINT LANE SOUTH,10473,CLASON POINT GARDENS,MONROE,9,03633,0001,2092739
56 CLASON POINT LANE SOUTH,10473,CLASON POINT GARDENS,MONROE,9,03633,0001,2092739
70 CLASON POINT LANE SOUTH,10473,CLASON POINT GARDENS,MONROE,9,03633,0001,2092740
72 CLASON POINT LANE SOUTH,10473,CLASON POINT GARDENS,MONROE,9,03633,0001,2092740
74 CLASON POINT LANE SOUTH,10473,CLASON POINT GARDENS,MONROE,9,03633,0001,2092741
76 CLASON POINT LANE SOUTH,10473,CLASON POINT GARDENS,MONROE,9,03633,0001,2092741
2777 DEWEY AVENUE,10465,THROGGS NECK,THROGGS NECK,10,05564,0001,2091480
2786 DEWEY AVENUE,10465,THROGGS NECK,THROGGS NECK,10,05582,0001,2093888
2791 DEWEY AVENUE,10465,THROGGS NECK,THROGGS NECK,10,05564,0001,2091479
2793 DEWEY AVENUE,10465,THROGGS NECK,THROGGS NECK,10,05564,0001,2091479
2795 DEWEY AVENUE,10465,THROGGS NECK,THROGGS NECK,10,05564,0001,2091479
2801 DEWEY AVENUE,10465,THROGGS NECK,THROGGS NECK,10,05564,0001,2091478
2805 DEWEY AVENUE,10465,THROGGS NECK,THROGGS NECK,10,05564,0001,2091478
2815 DEWEY AVENUE,10465,THROGGS NECK,THROGGS NECK,10,05564,0001,2091477
2821 DEWEY AVENUE,10465,THROGGS NECK,THROGGS NECK,10,05564,0001,2091477
2829 DEWEY AVENUE,10465,THROGGS NECK,THROGGS NECK,10,05564,0001,2091476
2831 DEWEY AVENUE,10465,THROGGS NECK,THROGGS NECK,10,05564,0001,2091476
303 EAST 135TH STREET,10454,MITCHEL,MITCHEL,1,02311,0001,2091143
305 EAST 135TH STREET,10454,MITCHEL,MITCHEL,1,02311,0001,2091143
361 EAST 135TH STREET,10454,MITCHEL,NYC DEPT OF PARKS,1,02298,0062,2102821
585 EAST 135TH STREET,10454,MILL BROOK,MILL BROOK,1,02548,0001,2091270
308 EAST 145TH STREET,10451,PATTERSON,PATTERSON,1,02324,0001,2091115
328 EAST 145TH STREET,10451,PATTERSON,PATTERSON,1,02324,0001,2091119
338 EAST 145TH STREET,10451,PATTERSON,PATTERSON,1,02324,0001,2091121
725 EAST 161ST STREET,10456,MCKINLEY,FOREST,3,02638,0090,2091956
731 EAST 161ST STREET,10456,MCKINLEY,FOREST,3,02638,0090,2091956
751 EAST 161ST STREET,10456,MCKINLEY,FOREST,3,02638,0090,2091958
1084 EAST 165TH STREET,10459,EAST 165TH STREET-BRYANT AVENUE,BUILDING MANAGEMENT ASSOCIATES(PRIVATE-BX1),2,02749,0025,2006114
1090 EAST 165TH STREET,10459,EAST 165TH STREET-BRYANT AVENUE,BUILDING MANAGEMENT ASSOCIATES(PRIVATE-BX1),2,02749,0025,2006114
1094 EAST 165TH STREET,10459,EAST 165TH STREET-BRYANT AVENUE,BUILDING MANAGEMENT ASSOCIATES(PRIVATE-BX1),2,02749,0025,2006114
1100 EAST 165TH STREET,10459,EAST 165TH STREET-BRYANT AVENUE,BUILDING MANAGEMENT ASSOCIATES(PRIVATE-BX1),2,02748,0025,2006103
1110 EAST 165TH STREET,10459,EAST 165TH STREET-BRYANT AVENUE,BUILDING MANAGEMENT ASSOCIATES(PRIVATE-BX1),2,02748,0025,2006103
1120 EAST 165TH STREET,10459,EAST 165TH STREET-BRYANT AVENUE,BUILDING MANAGEMENT ASSOCIATES(PRIVATE-BX1),2,02756,0010,2092031
1124 EAST 165TH STREET,10459,EAST 165TH STREET-BRYANT AVENUE,BUILDING MANAGEMENT ASSOCIATES(PRIVATE-BX1),2,02756,0010,2092031
1130 EAST 165TH STREET,10459,EAST 165TH STREET-BRYANT AVENUE,BUILDING MANAGEMENT ASSOCIATES(PRIVATE-BX1),2,02756,0010,2092031
1134 EAST 165TH STREET,10459,EAST 165TH STREET-BRYANT AVENUE,BUILDING MANAGEMENT ASSOCIATES(PRIVATE-BX1),2,02756,0010,2092031
308 EAST 167TH STREET,10456,CLAREMONT REHAB(GROUP 5),CLAREMONT CONSOLIDATED,4,02434,0018,2002259
998 EAST 167TH STREET,10459,WEST FARMS ROAD REHAB,BUILDING MANAGEMENT ASSOCIATES(PRIVATE-BX1),2,02751,0015,2006154
1002 EAST 167TH STREET,10459,WEST FARMS ROAD REHAB,BUILDING MANAGEMENT ASSOCIATES(PRIVATE-BX1),2,02751,0015,2006154
409 EAST 170TH STREET,10456,BUTLER,BUTLER,3,02895,0001,2092078
409GAR EAST 170TH STREET,10456,BUTLER,BUTLER,3,02895,0001,2112990
489 EAST 170TH STREET,10456,MORRIS II,MORRIS,3,02911,0001,2092109
2811 EXTERIOR STREET,10463,MARBLE HILL,MARBLE HILL,8,03265,0001,2092482
2831 EXTERIOR STREET,10463,MARBLE HILL,MARBLE HILL,8,03265,0001,2092481
2861 EXTERIOR STREET,10463,MARBLE HILL,MARBLE HILL,8,03265,0001,2100931
1 FORDHAM PLAZA,10458,NON DEVELOPMENT FACILITY,RENTED PROPERTY,6,03033,0053,2088325
712 GUN HILL ROAD,10467,GUN HILL,GUN HILL,12,04629,0050,2093514
740 GUN HILL ROAD,10467,GUN HILL,GUN HILL,12,04629,0050,2093515
744 GUN HILL ROAD,10467,GUN HILL,GUN HILL,12,04629,0050,2093515
535 HAVEMEYER AVENUE,10473,CASTLE HILL,CASTLE HILL,9,03537,0001,2092635
3445 HOLLAND AVENUE,10467,GUN HILL,GUN HILL,12,04629,0050,2093517
819 HUNTS POINT AVENUE,10474,HUNTS POINT AVENUE REHAB,BUILDING MANAGEMENT ASSOCIATES(PRIVATE-BX1),2,02740,0031,2005957
823 HUNTS POINT AVENUE,10474,HUNTS POINT AVENUE REHAB,BUILDING MANAGEMENT ASSOCIATES(PRIVATE-BX1),2,02740,0030,2005956
827 HUNTS POINT AVENUE,10474,HUNTS POINT AVENUE REHAB,BUILDING MANAGEMENT ASSOCIATES(PRIVATE-BX1),2,02740,0028,2005955
831 HUNTS POINT AVENUE,10474,HUNTS POINT AVENUE REHAB,BUILDING MANAGEMENT ASSOCIATES(PRIVATE-BX1),2,02740,0027,2005954
835 HUNTS POINT AVENUE,10474,HUNTS POINT AVENUE REHAB,BUILDING MANAGEMENT ASSOCIATES(PRIVATE-BX1),2,02740,0025,2005953
839 HUNTS POINT AVENUE,10474,HUNTS POINT AVENUE REHAB,BUILDING MANAGEMENT ASSOCIATES(PRIVATE-BX1),2,02740,0024,2005952
843 HUNTS POINT AVENUE,10474,HUNTS POINT AVENUE REHAB,BUILDING MANAGEMENT ASSOCIATES(PRIVATE-BX1),2,02740,0022,2005951
847 HUNTS POINT AVENUE,10474,HUNTS POINT AVENUE REHAB,BUILDING MANAGEMENT ASSOCIATES(PRIVATE-BX1),2,02740,0021,2005950
851 HUNTS POINT AVENUE,10474,HUNTS POINT AVENUE REHAB,BUILDING MANAGEMENT ASSOCIATES(PRIVATE-BX1),2,02740,0019,2005949
855 HUNTS POINT AVENUE,10474,HUNTS POINT AVENUE REHAB,BUILDING MANAGEMENT ASSOCIATES(PRIVATE-BX1),2,02740,0018,2005948
859 HUNTS POINT AVENUE,10474,HUNTS POINT AVENUE REHAB,BUILDING MANAGEMENT ASSOCIATES(PRIVATE-BX1),2,02740,0016,2005947
863 HUNTS POINT AVENUE,10474,HUNTS POINT AVENUE REHAB,BUILDING MANAGEMENT ASSOCIATES(PRIVATE-BX1),2,02740,0015,2005946
867 HUNTS POINT AVENUE,10474,HUNTS POINT AVENUE REHAB,BUILDING MANAGEMENT ASSOCIATES(PRIVATE-BX1),2,02740,0013,2005945
875 IRVINE STREET,10474,HUNTS POINT AVENUE REHAB,"BUILDING MANAGEMENT ASSOCIATES(PRIVATE,BX 1)",2,02761,0003,2006319
515 JACKSON AVENUE,10455,MOORE,SAINT MARY&#x27;S PARK,1,02557,0083,2091284
525 JACKSON AVENUE,10455,MOORE,SAINT MARY&#x27;S PARK,1,02557,0083,2091284
535 JACKSON AVENUE,10455,MOORE,SAINT MARY&#x27;S PARK,1,02557,0083,2091284
1707 LAFAYETTE AVENUE,10473,CLASON POINT GARDENS,MONROE,9,03633,0001,2095242
1709 LAFAYETTE AVENUE,10473,CLASON POINT GARDENS,MONROE,9,03633,0001,2095242
1711 LAFAYETTE AVENUE,10473,CLASON POINT GARDENS,MONROE,9,03633,0001,2095242
1719 LAFAYETTE AVENUE,10473,CLASON POINT GARDENS,MONROE,9,03633,0001,2092729
1091 LONGFELLOW AVENUE,10459,LONGFELLOW AVENUE REHAB,BUILDING MANAGEMENT ASSOCIATES(PRIVATE-BX1),202757,0020,2006277,
910 MACE AVENUE,10469,PELHAM PARKWAY,PELHAM PARKWAY,11,04444,0001,2093404
920 MACE AVENUE,10469,PELHAM PARKWAY,PELHAM PARKWAY,11,04444,0001,2093404
928 MACE AVENUE,10469,PELHAM PARKWAY,PELHAM PARKWAY,11,04444,0001,2093410
930 MACE AVENUE,10469,PELHAM PARKWAY,PELHAM PARKWAY,11,04444,0001,2093408
948 MACE AVENUE,10469,PELHAM PARKWAY,PELHAM PARKWAY,11,04444,0001,2093410
950 MACE AVENUE,10469,PELHAM PARKWAY,PELHAM PARKWAY,11,04444,0001,2093408
737 MELROSE AVENUE,10455,POLICE SERVICE AREA #7,NYPD HOUSING BUREAU,1,02402,0017,2101214
838 METCALF AVENUE,10473,CLASON POINT GARDENS,MONROE,9,03633,0001,2095243
840 METCALF AVENUE,10473,CLASON POINT GARDENS,MONROE,9,03633,0001,2095243
842 METCALF AVENUE,10473,CLASON POINT GARDENS,MONROE,9,03633,0001,2095244
844 METCALF AVENUE,10473,CLASON POINT GARDENS,MONROE,9,03633,0001,2095244
846 METCALF AVENUE,10473,CLASON POINT GARDENS,MONROE,9,03633,0001,2095244
848 METCALF AVENUE,10473,CLASON POINT GARDENS,MONROE,9,03633,0001,2095244
856 METCALF AVENUE,10473,CLASON POINT GARDENS,MONROE,9,03633,0001,2095245
860 METCALF AVENUE,10473,CLASON POINT GARDENS,MONROE,9,03633,0001,2095245
864 METCALF AVENUE,10473,CLASON POINT GARDENS,MONROE,9,03633,0001,2095245
868 METCALF AVENUE,10473,CLASON POINT GARDENS,MONROE,9,03633,0001,2095245
872 METCALF AVENUE,10473,CLASON POINT GARDENS,MONROE,9,03633,0001,2095245
3050 PARK AVENUE,10451,JACKSON,MORRISANIA AIR RIGHTS,1,02416,0001,2091227
3071 PARK AVENUE,10451,MORRISANIA AIR RIGHTS,MORRISANIA AIR RIGHTS,4,02420,9020,2102829
3073 PARK AVENUE,10451,MORRISANIA AIR RIGHTS,MORRISANIA AIR RIGHTS,4,02420,9020,2102829
3080 PARK AVENUE,10451,JACKSON,MORRISANIA AIR RIGHTS,1,02416,0001,2091228
3115 PARK AVENUE,10451,MORRISANIA AIR RIGHTS,MORRISANIA AIR RIGHTS,4,02420,9078,2100990
3125 PARK AVENUE,10451,MORRISANIA AIR RIGHTS,MORRISANIA AIR RIGHTS,4,02420,9078,2100990
3131 PARK AVENUE,10451,MORRISANIA AIR RIGHTS,MORRISANIA AIR RIGHTS,4,02420,9078,2100990
3135 PARK AVENUE,10451,MORRISANIA AIR RIGHTS,MORRISANIA AIR RIGHTS,4,02420,9078,2100990
3145 PARK AVENUE,10451,MORRISANIA AIR RIGHTS,MORRISANIA AIR RIGHTS,4,02420,9078,2100990
3200 PARK AVENUE,10451,MORRISANIA AIR RIGHTS,MORRISANIA AIR RIGHTS,3,02409,9059,2098307
3204 PARK AVENUE,10451,MORRISANIA AIR RIGHTS,MORRISANIA AIR RIGHTS,3,02409,9059,2098307
3210 PARK AVENUE,10451,MORRISANIA AIR RIGHTS,MORRISANIA AIR RIGHTS,3,02409,9059,2098307
3566 PARK AVENUE,10456,MORRISANIA,WEBSTER,3,02390,0024,2091182
2324 PAULDING AVENUE,10469,PELHAM PARKWAY,PELHAM PARKWAY,11,04363,0001,2093381
2354 PAULDING AVENUE,10469,PELHAM PARKWAY,PELHAM PARKWAY,11,04363,0001,2093378
2384 PAULDING AVENUE,10469,PELHAM PARKWAY,PELHAM PARKWAY,11,04363,0001,2093380
785 PELHAM PARKWAY NORTH,10467,PELHAM PARKWAY,PELHAM PARKWAY,11,04349,0001,2093364
795 PELHAM PARKWAY NORTH,10467,PELHAM PARKWAY,PELHAM PARKWAY,11,04349,0001,2093364
805 PELHAM PARKWAY NORTH,10467,PELHAM PARKWAY,PELHAM PARKWAY,11,04349,0001,2093365
815 PELHAM PARKWAY NORTH,10467,PELHAM PARKWAY,PELHAM PARKWAY,11,04349,0001,2093365
2731 SAMPSON AVENUE,10465,THROGGS NECK,THROGGS NECK,10,05582,0001,2093884
2733 SAMPSON AVENUE,10465,THROGGS NECK,THROGGS NECK,10,05582,0001,2093884
2735 SAMPSON AVENUE,10465,THROGGS NECK,THROGGS NECK,10,05582,0001,2093884
2743 SAMPSON AVENUE,10465,THROGGS NECK,THROGGS NECK,10,05582,0001,2093889
2745 SAMPSON AVENUE,10465,THROGGS NECK,THROGGS NECK,10,05582,0001,2093889
2751 SAMPSON AVENUE,10465,THROGGS NECK,THROGGS NECK,10,05582,0001,2093890
2755 SAMPSON AVENUE,10465,THROGGS NECK,THROGGS NECK,10,05582,0001,2093890
2761 SAMPSON AVENUE,10465,THROGGS NECK,THROGGS NECK,10,05582,0001,2093891
2765 SAMPSON AVENUE,10465,THROGGS NECK,THROGGS NECK,10,05582,0001,2093891
2775 SAMPSON AVENUE,10465,THROGGS NECK,THROGGS NECK,10,05582,0001,2093892
2777 SAMPSON AVENUE,10465,THROGGS NECK,THROGGS NECK,10,05582,0001,2093892
2785 SAMPSON AVENUE,10465,THROGGS NECK,THROGGS NECK,10,05582,0001,2093893
2787 SAMPSON AVENUE,10465,THROGGS NECK,THROGGS NECK,10,05582,0001,2093893
1682 STORY AVENUE,10473,CLASON POINT GARDENS,MONROE,9.03633,0001,2092738,
1684 STORY AVENUE,10473,CLASON POINT GARDENS,MONROE,9.03633,0001,2092738,
1686 STORY AVENUE,10473,CLASON POINT GARDENS,MONROE,9.03633,0001,2092738,
1688 STORY AVENUE,10473,CLASON POINT GARDENS,MONROE,9.03633,0001,2092738,
1690 STORY AVENUE,10473,CLASON POINT GARDENS,MONROE,9.03633,0001,2095246,
1692 STORY AVENUE,10473,CLASON POINT GARDENS,MONROE,9.03633,0001,2095246,
1694 STORY AVENUE,10473,CLASON POINT GARDENS,MONROE,9.03633,0001,2095246,
1698 STORY AVENUE,10473,CLASON POINT GARDENS,MONROE,9.03633,0001,2095246,
1755 STORY AVENUE,10473,MONROE,MONROE,9.03663,0001,2092760,
1757 STORY AVENUE,10473,MONROE,MONROE,9.03663,0001,2092760,
1760 STORY AVENUE,10473,MONROE,MONROE,9.03637,0001,2092756,
1762 STORY AVENUE,10473,MONROE,MONROE,9.03637,0001,2092756,
1770 STORY AVENUE,10473,MONROE,MONROE,9.03637,0001,2092751,
1775 STORY AVENUE,10473,MONROE,MONROE,9.03663,0001,2092761,
1776 STORY AVENUE,10473,MONROE,MONROE,9.03637,0001,2092748,
1779 STORY AVENUE,10473,MONROE,MONROE,9.03663,0001,2092761,
1780 STORY AVENUE,10473,MONROE,MONROE,9.03637,0001,2092748,
1785 STORY AVENUE,10473,MONROE,MONROE,9.03663,0001,2092761,
1790 STORY AVENUE,10473,MONROE,MONROE,9.03637,0001,2092752,
1800 STORY AVENUE,10473,MONROE,MONROE,9.03637,0001,2092757,
1802 STORY AVENUE,10473,MONROE,MONROE,9.03637,0001,2092757,
1815 STORY AVENUE,10473,MONROE,MONROE,9.03663,0001,2092762,
461 SWINTON AVENUE,10465,THROGGS NECK,THROGGS NECK,10,05582,0001,2093888
471 SWINTON AVENUE,10465,THROGGS NECK,THROGGS NECK,10,05582,0001,2093888
475 SWINTON AVENUE,10465,THROGGS NECK,THROGGS NECK,10,05582,0001,2093888
1065 UNIVERSITY AVENUE,10452,HIGHBRIDGE GARDENS,HIGHBRIDGE GARDENS,4,02527,0032,2093964
1075 UNIVERSITY AVENUE,10452,HIGHBRIDGE GARDENS,HIGHBRIDGE GARDENS,4,02527,0032,2095216
1095 UNIVERSITY AVENUE,10452,HIGHBRIDGE GARDENS,HIGHBRIDGE GARDENS,4,02527,0032,2095217
1105 UNIVERSITY AVENUE,10452,HIGHBRIDGE GARDENS,HIGHBRIDGE GARDENS,4,02527,0032,2095217
1115 UNIVERSITY AVENUE,10452,HIGHBRIDGE GARDENS,HIGHBRIDGE GARDENS,4,02527,0032,2095220
1125 UNIVERSITY AVENUE,10452,HIGHBRIDGE GARDENS,HIGHBRIDGE GARDENS,4,02527,0032,2095220
1135 UNIVERSITY AVENUE,10452,HIGHBRIDGE GARDENS,HIGHBRIDGE GARDENS,4,02527,0032,2095218
1145 UNIVERSITY AVENUE,10452,HIGHBRIDGE GARDENS,HIGHBRIDGE GARDENS,4,02527,0032,2095219
1155 UNIVERSITY AVENUE,10452,HIGHBRIDGE GARDENS,HIGHBRIDGE GARDENS,4,02527,0032,2095219
1165 UNIVERSITY AVENUE,10452,HIGHBRIDGE GARDENS,HIGHBRIDGE GARDENS,4,02527,0032,2095219
1531 UNIVERSITY AVENUE,10453,SEDGWICK,SEDGWICK,5,02877,0001,2092104
1535 UNIVERSITY AVENUE,10453,SEDGWICK,SEDGWICK,5,02877,0001,2092104
1551 UNIVERSITY AVENUE,10453,SEDGWICK,SEDGWICK,5,02877,0001,2092105
1553 UNIVERSITY AVENUE,10453,SEDGWICK,SEDGWICK,5,02877,0001,2092105
2220 WALLACE AVENUE,10467,PELHAM PARKWAY,PELHAM PARKWAY,11,04349,0001,2093364
2222 WALLACE AVENUE,10467,PELHAM PARKWAY,PELHAM PARKWAY,11,04349,0001,2093364
2250 WALLACE AVENUE,10467,PELHAM PARKWAY,PELHAM PARKWAY,11,04349,0001,2093366
2280 WALLACE AVENUE,10467,PELHAM PARKWAY,PELHAM PARKWAY,11,04349,0001,2093356
1451 WASHINGTON AVENUE,10456,MORRIS II,MORRIS,3,02902,0036,2092075
1453 WASHINGTON AVENUE,10456,MORRIS II,MORRIS,3,02902,0036,2092075
1460 WASHINGTON AVENUE,10456,MORRIS II,MORRIS,3,02911,0001,2092114
1462 WASHINGTON AVENUE,10456,MORRIS II,MORRIS,3,02911,0001,2092114
1465 WASHINGTON AVENUE,10456,MORRIS II,MORRIS,3,02902,0036,2092093
1467 WASHINGTON AVENUE,10456,MORRIS II,MORRIS,3,02902,0036,2092093
1480 WASHINGTON AVENUE,10456,MORRIS II,MORRIS,3,02911,0001,2092112
1481 WASHINGTON AVENUE,10456,MORRIS II,MORRIS,3,02902,0036,2092094
49 WEST 225TH STREET,10463,MARBLE HILL,MARBLE HILL,8,02215,0116,1080005
69 WEST 225TH STREET,10463,MARBLE HILL,MARBLE HILL,8,02215,0116,1080004
79GA R WEST 225TH STREET,10463,MARBLE HILL,MARBLE HILL,8,02215,0116,1080002
79 WEST 225TH STREET,10463,MARBLE HILL,MARBLE HILL,8,02215,0116,1080004
89 WEST 225TH STREET,10463,MARBLE HILL,MARBLE HILL,8,02215,0116,1080001
125 WEST 228TH STREET,10463,MARBLE HILL,MARBLE HILL,8,02215,0623,1082782
210 WEST 230TH STREET,10463,MARBLE HILL,MARBLE HILL,8,05702,0001,2083146
1317 WEST FARMS ROAD,10459,WEST FARMS ROAD REHAB,BUILDING MANAGEMENT ASSOCIATES(PRIVATE-BX1),3,03007,0036,2010911
1321 WEST FARMS ROAD,10459,WEST FARMS ROAD REHAB,BUILDING MANAGEMENT ASSOCIATES(PRIVATE-BX1),3,03007,0036,2010911
1323 WEST FARMS ROAD,10459,WEST FARMS ROAD REHAB,BUILDING MANAGEMENT ASSOCIATES(PRIVATE-BX1),3,03007,0036,2010911
228 WEST TREMONT AVENUE,10453,WEST TREMONT AVENUE-SEDGWICK AVENUE AREA,SEDGWICK,5,02877,0497,2008963
2945 WHITE PLAINS ROAD,10467,PARKSIDE,PARKSIDE,11,04542,0100,2054714
2955 WHITE PLAINS ROAD,10467,PARKSIDE,PARKSIDE,11,04542,0100,2101735
2959 WHITE PLAINS ROAD,10467,PARKSIDE,PARKSIDE,11,04542,0100,2101736
2963 WHITE PLAINS ROAD,10467,PARKSIDE,PARKSIDE,11,04542,0100,2101735
2973 WHITE PLAINS ROAD,10467,PARKSIDE,PARKSIDE,11,04542,0100,2101737
2975 WHITE PLAINS ROAD,10467,PARKSIDE,PARKSIDE,11,04542,0100,2101737
3440 WHITE PLAINS ROAD,10467,GUN HILL,GUN HILL,12,04629,0050,2093518
3444 WHITE PLAINS ROAD,10467,GUN HILL,GUN HILL,12,04629,0050,2093518
3450 WHITE PLAINS ROAD,10467,GUN HILL,GUN HILL,12,04629,0050,2093518
130 3RD AVENUE,11217,WYCKOFF GARDENS,WYCKOFF GARDENS,6,00394,0001,3336054
132 3RD AVENUE,11217,WYCKOFF GARDENS,WYCKOFF GARDENS,6,00394,0001,3336054
136 3RD AVENUE,11217,WYCKOFF GARDENS,WYCKOFF GARDENS,6,00394,0001,3336054
2738 86TH STREET,11223,MARLBORO,MARLBORO,13,07140,0016,3322185
2740 86TH STREET,11223,MARLBORO,MARLBORO,13,07140,0016,3322196
2742 86TH STREET,11223,MARLBORO,MARLBORO,13,07140,0016,3378169
2768 86TH STREET,11223,MARLBORO,MARLBORO,13,07140,0016,3322196
2770 86TH STREET,11223,MARLBORO,MARLBORO,13,07140,0016,3322196
2780 86TH STREET,11223,MARLBORO,MARLBORO,13,07140,0016,3322193
2790 86TH STREET,11223,MARLBORO,MARLBORO,13,07140,0016,3322194
2800 86TH STREET,11223,MARLBORO,MARLBORO,13,07140,0016,3322195
193 ALBANY AVENUE,11213,ALBANY,ALBANY,8,01352,0080,3324612
205 ALBANY AVENUE,11213,ALBANY,ALBANY,8,01352,0080,3324613
10 AMBOY STREET,11212,GARVEY (GROUP A),GARVEY,16,03494,0010,3251969
20 AMBOY STREET,11212,GARVEY (GROUP A),GARVEY,16,03494,0010,3251969
458 ATKINS AVENUE,11208,FHA REPOSSESSED HOUSES(GROUP IX),BAISLEY PARK,5,04454,0030,3098364
458 ATKINS AVENUE,11208,FHA REPOSSESSED HOUSES(GROUP IX),BAISLEY PARK,5,04454,0030,3098364
787 ATLANTIC AVENUE,11238,NON DEVELOPMENT FACILITY,RENTED PROPERTY,,02009,0001,3335094
803 ATLANTIC AVENUE,11238,NON DEVELOPMENT FACILITY,RENTED PROPERTY,,02009,0001,3335094
4 AUBURN PLACE,11205,POLICE SERVICE AREA #3 SATELLITE,NYPD HOUSING BUREAU,2,02040,0001,3335247
4 AUBURN PLACE,11205,WHITMAN,WHITMAN,2,02040,0001,3335247
14 AUBURN PLACE,11205,WHITMAN,WHITMAN,2,02040,0001,3335247
32 AUBURN PLACE,11205,WHITMAN,WHITMAN,2,02040,0001,3335245
820 AUTUMN AVENUE,11208,PINK,PINK,5,04486,0001,3324204
5721 AVENUE H,11234,GLENWOOD,GLENWOOD,18,07978,0001,3331011
18 AVENUE V,11223,MARLBORO,MARLBORO,13,07137,0001,3322137
30 AVENUE V,11223,MARLBORO,MARLBORO,13,07137,0001,3322143
2932 AVENUE V,11229,SHEEPSHEAD BAY,SHEEPSHEAD BAY,15,07387,0001,3337289
2954 AVENUE V,11229,SHEEPSHEAD BAY,NYC DEPT OF PARKS,15,07387,0001,
2986 AVENUE V,11229,SHEEPSHEAD BAY,SHEEPSHEAD BAY,15,07387,0001,3337299
3004 AVENUE V,11229,NOSTRAND,SHEEPSHEAD BAY,15,07389,0001,3320783
3022 AVENUE V,11229,NOSTRAND,SHEEPSHEAD BAY,15,07389,0001,3320775
3024 AVENUE V,11229,NOSTRAND,SHEEPSHEAD BAY,15,07389,0001,3320775
3042 AVENUE V,11229,NOSTRAND,SHEEPSHEAD BAY,15,07389,0001,3320776
3044 AVENUE V,11229,NOSTRAND,SHEEPSHEAD BAY,15,07389,0001,3320776
3062 AVENUE V,11229,NOSTRAND,SHEEPSHEAD BAY,15,07389,0001,3320777
2977 AVENUE W,11229,SHEEPSHEAD BAY,SHEEPSHEAD BAY,15,07387,0001,3337297
2978 AVENUE W,11229,SHEEPSHEAD BAY,SHEEPSHEAD BAY,15,07405,1001,3344549
3012 AVENUE W,11229,NOSTRAND,SHEEPSHEAD BAY,15,07408,0001,3345788
3019 AVENUE W,11229,NOSTRAND,SHEEPSHEAD BAY,15,07389,0001,3320780
3021 AVENUE W,11229,NOSTRAND,SHEEPSHEAD BAY,15,07389,0001,3320780
3024 AVENUE W,11229,NOSTRAND,SHEEPSHEAD BAY,15,07408,0001,3345788
3040 AVENUE W,11229,NOSTRAND,SHEEPSHEAD BAY,15,07408,0001,3345786
3041 AVENUE W,11229,NOSTRAND,SHEEPSHEAD BAY,15,07389,0001,3320779
3043 AVENUE W,11229,NOSTRAND,SHEEPSHEAD BAY,15,07389,0001,3320779
3045 AVENUE W,11229,NOSTRAND,SHEEPSHEAD BAY,15,07389,0001,3320779
3054 AVENUE W,11229,NOSTRAND,SHEEPSHEAD BAY,15,07408,0001,3345786
1400 BERGEN STREET,11213,ALBANY II,ALBANY,8,01352,0001,3324611
1414 BERGEN STREET,11213,ALBANY II,ALBANY,8,01352,0001,3324609
1430 BERGEN STREET,11213,ALBANY II,ALBANY,8,01352,0001,3324610
1737 BERGEN STREET,11233,KINGSBOROUGH EXTENSION,KINGSBOROUGH,8,01344,0175,3035751
2232 BRAGG STREET,11229,NOSTRAND,SHEEPSHEAD BAY,15,07389,0001,3320777
2242 BRAGG STREET,11229,NOSTRAND,SHEEPSHEAD BAY,15,07389,0001,3320778
2264 BRAGG STREET,11229,NOSTRAND,SHEEPSHEAD BAY,15,07389,0001,3320778
2324 BRAGG STREET,11229,NOSTRAND,SHEEPSHEAD BAY,15,07408,0001,3345792
2344 BRAGG STREET,11229,NOSTRAND,SHEEPSHEAD BAY,15,07408,0001,3345792
2356 BRAGG STREET,11229,NOSTRAND,SHEEPSHEAD BAY,15,07408,0001,3345787
300 BUSHWICK AVENUE,11206,BORINQUEN PLAZA II,BORINQUEN PLAZA I,1,03081,0040,3071358
330 BUSHWICK AVENUE,11206,BORINQUEN PLAZA II,BORINQUEN PLAZA I,1,03081,0050,3071359
370 BUSHWICK AVENUE,11206,BUSHWICK,BUSHWICK,1,03129,0001,3338436
372 BUSHWICK AVENUE,11206,BUSHWICK,BUSHWICK,1,03129,0001,3338436
390 BUSHWICK AVENUE,11206,BUSHWICK,BUSHWICK,1,03129,0001,3338437
392 BUSHWICK AVENUE,11206,BUSHWICK,BUSHWICK,1,03129,0001,3338437
424 BUSHWICK AVENUE,11206,BUSHWICK,BUSHWICK,1,03129,0001,3338438
325 CLASSON AVENUE,11205,LAFAYETTE,LAFAYETTE,3,01938,0001,3321871
333 CLASSON AVENUE,11205,LAFAYETTE,LAFAYETTE,3,01938,0001,3321871
343 CLASSON AVENUE,11205,LAFAYETTE,LAFAYETTE,3,01938,0001,3321865
345 CLASSON AVENUE,11205,LAFAYETTE,LAFAYETTE,3,01938,0001,3321865
